"subject","body","type","priority","snowflake_level","language"
"[TKT-00001] billing service - drops connection","Das Team security meldet, dass billing service drops connection after cache clear. Bitte pruefen und eine Loesung vorschlagen. Interne Referenz TKT-00001.","Problem","medium","PRO","de"
"[TKT-00002] etl pipeline - rejects valid input","Team product reports that etl pipeline rejects valid input during peak traffic. Please investigate and provide mitigation steps. Internal reference TKT-00002.","Problem","low","MEDIUM","en"
"[TKT-00003] auth service - rejects valid input","Team hr reports that auth service rejects valid input after token refresh. Please investigate and provide mitigation steps. Internal reference TKT-00003.","Problem","high","MEDIUM","en"
"[TKT-00004] payment processor - returns timeout","Das Team support meldet, dass payment processor returns timeout after cache clear. Bitte pruefen und eine Loesung vorschlagen. Interne Referenz TKT-00004.","Incident","low","PRO","de"
"[TKT-00005] reporting job - has intermittent errors","Team ops reports that reporting job has intermittent errors after token refresh. Please investigate and provide mitigation steps. Internal reference TKT-00005.","Incident","medium","PRO","en"
"[TKT-00006] data sync - breaks session state","Das Team support meldet, dass data sync breaks session state after token refresh. Bitte pruefen und eine Loesung vorschlagen. Interne Referenz TKT-00006.","Incident","high","BASIC","de"
"[TKT-00007] crm connector - drops connection","Das Team ops meldet, dass crm connector drops connection during timezone conversion. Bitte pruefen und eine Loesung vorschlagen. Interne Referenz TKT-00007.","Request","low","MEDIUM","de"
"[TKT-00008] auth service - rejects valid input","El equipo de analytics reporta que auth service rejects valid input during timezone conversion. Necesitamos revision y plan de mitigacion. Referencia interna TKT-00008.","Incident","high","BASIC","es"
"[TKT-00009] billing service - has intermittent errors","El equipo de ops reporta que billing service has intermittent errors when uploading csv files. Necesitamos revision y plan de mitigacion. Referencia interna TKT-00009.","Problem","high","PRO","es"
"[TKT-00010] crm connector - breaks session state","El equipo de ops reporta que crm connector breaks session state when uploading csv files. Necesitamos revision y plan de mitigacion. Referencia interna TKT-00010.","Problem","high","PRO","es"
